id,value
"Ander Theil",3
"Apocalypsis Iesu Christi",5
"Catalogus scriptorum",3
"Cheiragogia Heliana de Auro",2
"Chronologia sacra (selections)",20
"Colloquiorumfamiliarium",1
"Colloquiorumfamiliarium",2
"De republica Anglorum The",31
"Fortalitium Scientiae",2
"Gallicae linguae institutio:",3
"Isagoge optica",1
"L'elixir des philosophes",8
"Orbis Miraculum",4
"Princeps (selections)",52
"The Roman historie",15
"The Triall of Witch-craft",40
"The complaint of Roderyck",1
"The foure chiefest offices",1
"The image of governance",2
"Triga chemica: De Lapide",2
"Varietà di secreti    :",2
"Veterinaria medicina",3
" Flores: ex operibus",21
